tt0000009|Miss Jerry
tt0000147|The Corbett-Fitzsimmons Fight
tt0000335|Soldiers of the Cross
tt0000574|The Story of the Kelly Gang
tt0000679|The Fairylogue and Radio-Plays
tt0000739|El pastorcito de Torrente
tt0000812|El blocao Velarde
tt0000814|La bocana de Mar Chica
tt0000838|A Cultura do Cacau
tt0000842|De Garraf a Barcelona
tt0000846|Un día en Xochimilco
tt0000859|Fabricación del corcho en Sant Feliu de Guixols
tt0000862|Faldgruben
tt0000867|Fiesta de toros
tt0000868|Fiestas de Santa Lucía - Belenes
tt0000869|Fiestas en La Garriga
tt0000879|Gira política de Madero y Pino Suárez
tt0000891|Cycle Rider and the Witch
tt0000947|Lægens offer
tt0000959|Melilla y el Gurugu
tt0000984|Niños en la alameda
tt0000992|De onde Veje
tt0001007|La primera y segunda casetas
tt0001010|Protección de un convoy de víveres en el puente de camellos
tt0001038|Sherlock Holmes VI
tt0001043|Smith's Knockabout Theatre
tt0001051|El sueño milagroso
tt0001059|O Terremoto de Benavente
tt0001068|Toma caseta Z
tt0001069|Toma del Gurugu
tt0001080|Two of the Boys
tt0001081|La vida en el campamento
tt0001101|Abraham Lincoln's Clemency
tt0001109|L'aluminite
tt0001115|Ansigttyven I
tt0001116|Ansigttyven II
tt0001142|By Order of Napoleon
tt0001147|O Centenário da Guerra Peninsular
tt0001159|The Connecticut Yankee
tt0001163|Corrida da Rampa
tt0001179|Desfile histórico del centenario
tt0001186|Dorothy and the Scarecrow in Oz
tt0001203|Excursión al Gombreny
tt0001258|The White Slave Trade
tt0001277|Kapergasten
tt0001341|Jarní sen starého mládence
tt0001348|Orientalsk dans
